bucket,createdAt,key,metaData.owner,metaData.size,mime_type,name,objectId,provider,updatedAt,url
lc-gluttony,2021-09-27T14:19:18.836Z,6wvnoH5leFq2/c3Ye8lHySxXS1nTFvOkMqnfW5McXqWdI/伴随着你.m4a,unknown,3761300,audio/mp4,伴随着你.m4a,6151d2e66b4e797ba255f069,s3,2021-09-27T14:19:18.836Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/c3Ye8lHySxXS1nTFvOkMqnfW5McXqWdI/%E4%BC%B4%E9%9A%8F%E7%9D%80%E4%BD%A0.m4a
lc-gluttony,2021-09-27T14:19:15.297Z,6wvnoH5leFq2/jiBHRLPa3qy4YQ5fd9hH2yFdVFqb6R79/You Are Not Alone.m4a,unknown,4400410,audio/mp4,You Are Not Alone.m4a,6151d2e35e0db15b17f0bf3a,s3,2021-09-27T14:19:15.297Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/jiBHRLPa3qy4YQ5fd9hH2yFdVFqb6R79/You%20Are%20Not%20Alone.m4a
lc-gluttony,2021-09-27T14:15:28.668Z,6wvnoH5leFq2/1JkQIPkTSBjuseyw70JkzyXDXqa50TjA/Counting Stars.m4a,unknown,3126829,audio/mp4,Counting Stars.m4a,6151d2006b4e797ba255eed5,s3,2021-09-27T14:15:28.668Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/1JkQIPkTSBjuseyw70JkzyXDXqa50TjA/Counting%20Stars.m4a
lc-gluttony,2021-09-27T14:15:38.368Z,6wvnoH5leFq2/MgXt6S8YfBNdjBV74Nnw7PRC3xASqLKE/Lemon Tree.m4a,unknown,2319579,audio/mp4,Lemon Tree.m4a,6151d20a6b4e797ba255ef01,s3,2021-09-27T14:15:38.368Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/MgXt6S8YfBNdjBV74Nnw7PRC3xASqLKE/Lemon%20Tree.m4a
lc-gluttony,2021-09-27T14:18:52.459Z,6wvnoH5leFq2/qgWAq2omCpNlPx5tInsHRXqcLeOGXYzx/Seasons in the Sun.m4a,unknown,3025079,audio/mp4,Seasons in the Sun.m4a,6151d2cc6b4e797ba255f05a,s3,2021-09-27T14:18:52.459Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/qgWAq2omCpNlPx5tInsHRXqcLeOGXYzx/Seasons%20in%20the%20Sun.m4a
lc-gluttony,2021-09-27T14:18:55.886Z,6wvnoH5leFq2/eqpaC4XUPekc6buDrqT4P8sYNLdNHFd9/Shape of You.mp3,unknown,3729138,audio/mpeg,Shape of You.mp3,6151d2cf5e0db15b17f0bf31,s3,2021-09-27T14:18:55.886Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/eqpaC4XUPekc6buDrqT4P8sYNLdNHFd9/Shape%20of%20You.mp3
lc-gluttony,2021-09-27T14:15:32.562Z,6wvnoH5leFq2/KWaeHAcUjelrmxTqjLDpHcCSlYkSfdhK/Dream It Possible.mp3,unknown,3277856,audio/mpeg,Dream It Possible.mp3,6151d2046b4e797ba255eee6,s3,2021-09-27T14:15:32.562Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/KWaeHAcUjelrmxTqjLDpHcCSlYkSfdhK/Dream%20It%20Possible.mp3
lc-gluttony,2021-09-27T14:15:38.874Z,6wvnoH5leFq2/DQPNDoL0Tmzn1Txz6uvj4yBEP9368fuK/Lemon.m4a,unknown,3118915,audio/mp4,Lemon.m4a,6151d20a5e0db15b17f0be01,s3,2021-09-27T14:15:38.874Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/DQPNDoL0Tmzn1Txz6uvj4yBEP9368fuK/Lemon.m4a
lc-gluttony,2021-09-27T14:19:02.972Z,6wvnoH5leFq2/Y0W4TUunBj8mmHzxAR6WgRAhrRpl50gg/The Ludlows.m4a,unknown,4544450,audio/mp4,The Ludlows.m4a,6151d2d66b4e797ba255f061,s3,2021-09-27T14:19:02.972Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/Y0W4TUunBj8mmHzxAR6WgRAhrRpl50gg/The%20Ludlows.m4a
lc-gluttony,2021-09-27T14:19:12.430Z,6wvnoH5leFq2/q5mKTa7xSvPvYGJDYLpY9AiQuhb5xqez/Waka Waka (This Time For Africa).m4a,unknown,2445950,audio/mp4,Waka Waka (This Time For Africa).m4a,6151d2e06b4e797ba255f066,s3,2021-09-27T14:19:12.430Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/q5mKTa7xSvPvYGJDYLpY9AiQuhb5xqez/Waka%20Waka%20%28This%20Time%20For%20Africa%29.m4a
lc-gluttony,2021-09-27T14:19:23.002Z,6wvnoH5leFq2/Cd7mApJV2XDPgCwE5Mk01uV649FgWMqY/错位时空.m4a,unknown,2487221,audio/mp4,错位时空.m4a,6151d2eb6b4e797ba255f06b,s3,2021-09-27T14:19:23.002Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/Cd7mApJV2XDPgCwE5Mk01uV649FgWMqY/%E9%94%99%E4%BD%8D%E6%97%B6%E7%A9%BA.m4a
lc-gluttony,2021-09-27T14:19:27.671Z,6wvnoH5leFq2/akz6CLFrUNLdvUU2jIVtVcFkbrwNfGR1/卡农（经典钢琴版）.m4a,unknown,3662447,audio/mp4,卡农（经典钢琴版）.m4a,6151d2ef6b4e797ba255f06f,s3,2021-09-27T14:19:27.671Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/akz6CLFrUNLdvUU2jIVtVcFkbrwNfGR1/%E5%8D%A1%E5%86%9C%EF%BC%88%E7%BB%8F%E5%85%B8%E9%92%A2%E7%90%B4%E7%89%88%EF%BC%89.m4a
lc-gluttony,2021-09-27T14:15:28.756Z,6wvnoH5leFq2/XFmSt0Lyt4tCoKpXaVvvSRfopfNUJs4E/Dancing With Your Ghost.m4a,unknown,2408359,audio/mp4,Dancing With Your Ghost.m4a,6151d2005e0db15b17f0bdb4,s3,2021-09-27T14:15:28.756Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/XFmSt0Lyt4tCoKpXaVvvSRfopfNUJs4E/Dancing%20With%20Your%20Ghost.m4a
lc-gluttony,2021-09-27T14:17:14.413Z,6wvnoH5leFq2/OG0yl53lh5wkl8tzCHVm585mHFMOczBv/Childhood Memory.mp3,unknown,3137380,audio/mpeg,Childhood Memory.mp3,6151d26a6b4e797ba255efe6,s3,2021-09-27T14:17:14.413Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/OG0yl53lh5wkl8tzCHVm585mHFMOczBv/Childhood%20Memory.mp3
lc-gluttony,2021-09-27T14:18:50.285Z,6wvnoH5leFq2/X7FWxukQtuEgh1KGXe8z2EExomKgh9ta/River Flows in You.m4a,unknown,2413722,audio/mp4,River Flows in You.m4a,6151d2ca6b4e797ba255f059,s3,2021-09-27T14:18:50.285Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/X7FWxukQtuEgh1KGXe8z2EExomKgh9ta/River%20Flows%20in%20You.m4a
